Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
51377-55912,WR,Saeed,Saeed Blacknall,Blacknall,0,1,4500,PIT@DAL,PIT,DAL,,,
51377-72297,RB,Rico,Rico Dowdle,Dowdle,1.299999952,1,4500,PIT@DAL,DAL,PIT,,,
51377-64105,RB,Patrick,Patrick Carr,Carr,0,1,4500,SEA@BUF,SEA,BUF,,,
51377-38509,RB,Wendell,Wendell Smallwood,Smallwood,0,1,4500,PIT@DAL,PIT,DAL,,,
51377-56946,WR,Ventell,Ventell Bryant,Bryant,0,1,4500,PIT@DAL,DAL,PIT,,,
51377-33403,WR,Tevin,Tevin Jones,Jones,0,1,4500,PIT@DAL,DAL,PIT,,,
51377-55940,WR,Chad,Chad Hansen,Hansen,0,0,4500,HOU@JAC,HOU,JAC,,,
51377-55941,RB,Patrick,Patrick Laird,Laird,1.299999952,2,4500,MIA@ARI,MIA,ARI,,,
51377-53913,WR,Cody,Cody Hollister,Hollister,1.700000048,1,4500,CHI@TEN,TEN,CHI,,,
51377-55964,RB,Tony,Tony Brooks-James,Brooks-James,0.233333329,3,4500,DET@MIN,MIN,DET,,,
51377-31397,RB,Jeremy,Jeremy Hill,Hill,0,0,4500,LV@LAC,LV,LAC,,,
51377-52902,WR,Trey,Trey Quinn,Quinn,0,2,4500,HOU@JAC,JAC,HOU,,,
51377-29351,WR,De'Anthony,De'Anthony Thomas,Thomas,0,1,4500,BAL@IND,BAL,IND,IR,Opt out,
51377-96942,WR,Keelan,Keelan Doss,Doss,3.133333206,6,4500,LV@LAC,LV,LAC,,,
51377-25267,WR,Mack,Mack Hollins,Hollins,0,2,4500,MIA@ARI,MIA,ARI,,,
51377-69310,WR,Josh,Josh Hammond,Hammond,0,2,4500,HOU@JAC,JAC,HOU,,,
51377-72382,RB,Gabe,Gabe Nabers,Nabers,2.700000127,3,4500,LV@LAC,LAC,LV,,,
51377-33472,RB,C.J.,C.J. Prosise,Prosise,0.100000001,1,4500,HOU@JAC,HOU,JAC,,,
51377-71360,WR,Tyler,Tyler Simmons,Simmons,0,0,4500,HOU@JAC,HOU,JAC,,,
51377-52931,RB,Elijhaa,Elijhaa Penny,Penny,0.633333325,3,4500,NYG@WAS,NYG,WAS,,,
51377-73414,WR,Rashad,Rashad Medaris,Medaris,0,2,4500,MIA@ARI,ARI,MIA,,,
51377-110282,WR,Justice,Justice Shelton-Mosley,Shelton-Mosley,0,0,4500,CAR@KC,KC,CAR,,,
51377-69325,WR,Riley,Riley Ridley,Ridley,0,2,4500,CHI@TEN,CHI,TEN,,,
51377-64205,WR,Jalen,Jalen McCleskey,McCleskey,0,1,4500,DEN@ATL,ATL,DEN,,,
51377-71372,WR,Tyrie,Tyrie Cleveland,Cleveland,0.300000012,4,4500,DEN@ATL,DEN,ATL,,,
51377-53967,RB,Nick,Nick Bawden,Bawden,0,1,4500,DET@MIN,DET,MIN,IR,Undisclosed,
51377-81616,WR,Rashard,Rashard Davis,Davis,2.099999905,1,4500,CHI@TEN,TEN,CHI,,,
51377-63186,WR,James,James Proche,Proche,0,7,4500,BAL@IND,BAL,IND,,,
