P,Player,Week,Team,Opp,Opp Position Rank,FDSal,DKSal,FD Points,DK Points
WR,Albert Wilson,7,KC,NO,24,4600,3000,0.9,1
TE,Tyler Higbee,7,LAR,NYG,10,4500,2500,0.9,1
WR,Sammie Coates,7,PIT,NE,8,5800,5100,0.9,1
TE,Garrett Celek,7,SF,TB,12,4700,2500,0.9,1
WR,Bennie Fowler,9,DEN,OAK,26,4700,3000,0.9,1
RB,Travaris Cadet,9,NO,SF,32,4500,3000,0.9,1
WR,Josh Bellamy,8,CHI,MIN,2,4500,3000,0.9,1
WR,Anquan Boldin,8,DET,HOU,4,5800,4200,0.9,1
TE,Brandon Bostick,8,NYJ,CLE,31,4500,2500,0.9,1
WR,Tyrell Williams,8,SD,DEN,1,5800,4700,0.9,1
RB,Kenyan Drake,10,MIA,SD,28,4500,3000,0.9,1
FB,Aaron Ripkowski,11,GB,WAS,24,4600,3000,0.9,1
RB,Benjamin Cunningham,11,LAR,MIA,11,4500,4000,0.9,1
WR,Dontrelle Inman,5,SD,OAK,31,6100,4100,0.8,1
FB,Patrick DiMarco,7,ATL,SD,27,4500,3000,0.8,1
TE,Tyler Kroft,7,CIN,CLE,32,4500,2500,0.8,1
WR,Tyler Boyd,7,CIN,CLE,21,4800,3000,0.8,1
WR,Pharoh Cooper,9,LAR,CAR,31,4500,3000,0.8,1
RB,Jerick McKinnon,9,MIN,DET,10,6200,4000,0.8,1
WR,Corey Brown,8,CAR,ARI,8,4700,3300,0.8,1
WR,Jordan Payton,8,CLE,NYJ,28,4500,3000,0.8,1
TE,Josh Hill,8,NO,SEA,7,4500,2500,0.8,1
RB,Dexter McCluster,8,SD,DEN,18,4500,3000,0.8,1
WR,Corey Brown,10,CAR,KC,25,4800,3000,0.8,1
RB,Paul Lasike,10,CHI,TB,27,4500,0,0.8,1
RB,Bilal Powell,2,NYJ,BUF,5,5300,4000,0.8,1
FB,Malcolm Johnson,3,CLE,MIA,18,4500,3000,0.8,1
FB,Anthony Sherman,3,KC,NYJ,8,4500,3000,0.8,1
WR,Chris Hogan,3,NE,HOU,8,4800,3900,0.8,1
WR,Lucky Whitehead,4,DAL,SF,15,4500,3000,0.8,1
WR,Torrey Smith,4,SF,DAL,13,5600,3900,0.8,1
FB,Patrick DiMarco,6,ATL,SEA,10,4500,3000,0.8,1
RB,Fozzy Whittaker,6,CAR,NO,32,5600,4300,0.8,1
TE,Clay Harbor,6,DET,LA,21,4500,2500,0.8,1
RB,Marcus Murphy,11,NO,CAR,3,4500,3000,0.8,1
WR,Harry Douglas,11,TEN,IND,16,4500,3000,0.8,1
RB,Charcandrick West,12,KC,DEN,26,5200,5000,0.8,1
WR,Brian Quick,12,LAR,NO,15,4500,3600,0.8,1
TE,Luke Stocker,12,TB,SEA,8,4500,2500,0.8,1
RB,Ka'Deem Carey,13,CHI,SF,32,4500,3000,0.8,1
TE,AJ Derby,13,DEN,JAX,10,4500,2500,0.8,1
TE,Josh Hill,13,NO,DET,32,4500,2500,0.8,1
RB,DuJuan Harris,13,SF,CHI,6,4900,3900,0.8,1
WR,Terrelle Pryor,14,CLE,CIN,6,6700,5900,0.8,1
FB,John Kuhn,14,NO,TB,20,4500,3000,0.8,1
RB,Matt Forte,14,NYJ,SF,32,7700,6800,0.8,1
RB,Adrian Peterson,15,MIN,IND,23,6300,5000,0.8,2
TE,Austin Seferian-Jenkins,15,NYJ,MIA,25,4600,2500,0.8,1
RB,Jeremy Hill,16,CIN,HOU,17,6800,5300,0.8,1
WR,Albert Wilson,16,KC,DEN,1,4500,3000,0.8,1
TE,Trey Burton,16,PHI,NYG,15,4500,2500,0.8,1
RB,Thomas Rawls,16,SEA,ARI,9,6200,5100,0.8,1
WR,Jamison Crowder,16,WAS,CHI,29,6000,5600,0.8,1
WR,Brice Butler,17,DAL,PHI,31,4500,3700,0.8,1
RB,Bobby Rainey,17,NYG,WAS,28,4500,3000,0.8,1
RB,Joe Banyard,17,JAX,IND,27,0,0,0.7,1
FB,Anthony Sherman,17,KC,SD,25,4500,3000,0.7,1
RB,Denard Robinson,1,JAX,GB,15,5200,3100,0.7,1
TE,Tyler Higbee,1,LAR,SF,10,4500,2500,0.7,1
RB,Kapri Bibbs,2,DEN,IND,32,4500,3000,0.7,1
RB,Orleans Darkwa,2,NYG,NO,31,4500,3000,0.7,1
FB,Kyle Juszczyk,3,BAL,JAX,11,4500,3000,0.7,1
WR,Chris Moore,3,BAL,JAX,28,0,3000,0.7,1
WR,Markus Wheaton,3,PIT,PHI,6,6000,4600,0.7,1
RB,Rob Kelley,3,WAS,NYG,6,4700,3000,0.7,1
RB,Jamaal Charles,4,KC,PIT,30,7000,5400,0.7,1
TE,Rhett Ellison,4,MIN,NYG,13,4500,2500,0.7,1
WR,Josh Bellamy,6,CHI,JAX,28,4500,3000,0.7,1
FB,Aaron Ripkowski,6,GB,DAL,4,4500,3000,0.7,1
WR,Charles Johnson,5,MIN,HOU,3,4700,3000,0.7,1
RB,Andre Ellington,7,ARI,SEA,4,4500,3000,0.7,1
FB,Kyle Juszczyk,7,BAL,NYJ,20,4500,3000,0.7,1
RB,Matt Jones,7,WAS,DET,8,6700,4200,0.7,2
RB,Stevan Ridley,9,ATL,TB,26,4500,3000,0.7,1
WR,Aldrick Robinson,10,ATL,PHI,14,4500,3000,0.7,1
WR,Roger Lewis,10,NYG,CIN,6,4500,3300,0.7,1
TE,David Johnson,10,PIT,DAL,22,4500,2500,0.7,1
WR,Tommylee Lewis,12,NO,LA,13,4500,3000,0.7,1
WR,Chris Moore,13,BAL,MIA,16,4500,3000,0.7,1
WR,Phillip Dorsett,13,IND,NYJ,25,4600,3200,0.7,1
RB,Kenjon Barner,13,PHI,CIN,21,4900,3600,0.7,1
TE,Ben Koyack,15,JAX,HOU,6,4500,2500,0.7,1
WR,Jarius Wright,15,MIN,IND,14,4500,3000,0.7,1
WR,Walter Powell,12,BUF,JAX,9,4500,3000,0.6,1
RB,Lance Dunbar,12,DAL,WAS,20,4500,3000,0.6,1
RB,Knile Davis,12,KC,DEN,26,4500,3000,0.6,1
RB,Peyton Barber,13,TB,SD,27,4800,3900,0.6,1
WR,De'Anthony Thomas,14,KC,OAK,17,4500,3000,0.6,1
RB,Fitzgerald Toussaint,14,PIT,BUF,18,4500,4300,0.6,1
TE,Vernon Davis,14,WAS,PHI,4,4800,3500,0.6,1
TE,Alex Ellis,15,JAX,HOU,6,0,2500,0.6,1
WR,James Wright,1,CIN,NYJ,17,4500,3000,0.6,1
RB,Fitzgerald Toussaint,1,PIT,WAS,17,4600,3500,0.6,1
TE,CJ Fiedorowicz,2,HOU,KC,14,4500,2500,0.6,1
WR,Braxton Miller,2,HOU,KC,10,4500,3000,0.6,1
RB,Jerick McKinnon,2,MIN,GB,10,5000,3700,0.6,1
RB,Daryl Richardson,2,PIT,CIN,22,4500,3000,0.6,1
TE,Anthony Fasano,2,TEN,DET,32,4500,2500,0.6,1
RB,Joique Bell,4,CHI,DET,8,0,0,0.6,1
WR,Arrelious Benn,4,JAX,IND,7,0,3000,0.6,1
FB,Zach Line,4,MIN,NYG,2,4500,3000,0.6,1
TE,Lee Smith,4,OAK,BAL,10,4500,2500,0.6,1
TE,Mychal Rivera,4,OAK,BAL,10,4500,2500,0.6,1
RB,Reggie Bush,6,BUF,SF,28,4900,3000,0.6,1
WR,James Wright,6,CIN,NE,7,4500,3000,0.6,1
RB,Kenjon Barner,6,PHI,WAS,30,5000,3000,0.6,1
TE,Jacob Tamme,5,ATL,DEN,14,5400,3000,0.6,1
RB,Ronnie Hillman,16,SD,CLE,31,4500,3400,0.6,1
WR,Chris Harper,16,SF,LA,27,4500,3000,0.6,1
RB,Raheem Mostert,17,SF,SEA,2,4500,0,0.6,1
TE,Luke Stocker,17,TB,CAR,31,4500,2500,0.6,1
FB,Jerome Felton,5,BUF,LA,18,4500,3000,0.6,1
RB,Peyton Barber,5,TB,CAR,15,4500,3000,0.6,1
RB,Don Jackson,7,GB,CHI,13,4500,0,0.6,1
RB,Jalen Richard,7,OAK,JAX,11,5100,3600,0.6,1
RB,Fozzy Whittaker,9,CAR,LA,14,4700,3200,0.6,1
RB,Alfred Morris,8,DAL,PHI,16,4600,3200,0.6,1
FB,Keith Smith,8,DAL,PHI,16,0,3000,0.6,1
WR,Marqise Lee,8,JAX,TEN,10,4500,3300,0.6,2
WR,Matthew Slater,5,NE,CLE,20,4500,3000,0.5,1
FB,Anthony Sherman,7,KC,NO,32,4500,3000,0.5,1
TE,James O'Shaughnessy,9,KC,JAX,7,4500,2500,0.5,1
RB,Mike Davis,9,SF,NO,31,4900,3900,0.5,2
WR,Andre Holmes,8,OAK,TB,16,4500,3000,0.5,1
TE,Lance Kendricks,10,LAR,NYJ,20,4500,3000,0.5,1
FB,Zach Line,10,MIN,WAS,25,4500,3000,0.5,1
WR,JJ Nelson,11,ARI,MIN,2,5800,4700,0.5,1
RB,Paul Lasike,11,CHI,NYG,16,4500,3000,0.5,1
WR,Justin Hardy,1,ATL,TB,25,4900,3100,0.5,1
RB,Chris Johnson,3,ARI,BUF,24,5000,3500,0.5,1
TE,Troy Niklas,3,ARI,BUF,3,4500,2500,0.5,1
RB,Justin Forsett,6,DET,LA,18,4900,0,0.5,1
RB,Kenneth Farrow,6,SD,DEN,23,4500,3000,0.5,1
TE,John Phillips,11,NO,CAR,29,4500,2500,0.5,1
RB,Jeremy Langford,12,CHI,TEN,10,4900,3800,0.5,1
RB,Juwan Thompson,13,DEN,JAX,18,4500,3000,0.5,1
WR,Shane Wynn,13,JAX,DEN,1,0,0,0.5,1
TE,Rhett Ellison,14,MIN,JAX,9,4500,2500,0.5,1
RB,Melvin Gordon,14,SD,CAR,11,8200,7400,0.5,1
RB,Charcandrick West,15,KC,TEN,5,4900,4800,0.5,1
FB,Jay Prosch,16,HOU,CIN,18,4500,3000,0.5,1
RB,TJ Yeldon,16,JAX,TEN,4,5200,3800,0.5,1
RB,James Develin,16,NE,NYJ,16,4500,3000,0.5,1
WR,Brittan Golden,17,ARI,LA,26,4500,3000,0.5,1
RB,Duke Johnson,17,CLE,PIT,26,4800,3500,0.4,0
FB,Dan Vitale,17,CLE,PIT,26,4500,2500,0.4,1
RB,Ka'Deem Carey,1,CHI,HOU,10,4800,3500,0.4,0
RB,Alfred Blue,1,HOU,CHI,23,5300,3600,0.4,0
RB,Brandon Bolden,1,NE,ARI,7,4900,3000,0.4,0
FB,John Kuhn,1,NO,OAK,18,4500,0,0.4,0
WR,Tommylee Lewis,2,NO,NYG,5,4500,3000,0.4,1
WR,Josh Huff,2,PHI,CHI,24,4700,3000,0.4,1
WR,Brandon Tate,4,BUF,NE,17,4500,3000,0.4,0
FB,Mike Tolbert,4,CAR,ATL,29,4900,3000,0.4,1
RB,Rob Kelley,4,WAS,CLE,19,4800,3400,0.4,0
RB,Mike Davis,5,SF,ARI,6,4500,3000,0.4,0
RB,Kenneth Dixon,7,BAL,NYJ,20,5300,3000,0.4,1
RB,Bobby Rainey,7,NYG,LA,15,4900,3200,0.4,1
FB,Jamize Olawale,9,OAK,DEN,19,4500,3000,0.4,0
RB,Kapri Bibbs,8,DEN,SD,27,4500,3000,0.4,0
RB,CJ Spiller,10,NYJ,LA,7,4500,3000,0.4,0
RB,DuJuan Harris,11,SF,NE,13,5300,4000,0.4,0
WR,Brittan Golden,12,ARI,ATL,28,4500,3000,0.4,1
FB,Andy Janovich,12,DEN,KC,15,4500,3000,0.4,1
RB,Christine Michael,12,GB,PHI,10,4700,3300,0.4,0
TE,James O'Shaughnessy,12,KC,DEN,8,4500,2500,0.4,1
RB,Reggie Bush,14,BUF,PIT,28,4500,3000,0.4,0
RB,Brandon Wilds,14,NYJ,SF,32,4500,0,0.4,0
WR,Bryce Treggs,15,PHI,BAL,29,4500,3000,0.4,0
TE,Rhett Ellison,11,MIN,ARI,1,4500,2500,0.3,1
RB,Troymaine Pope,11,SEA,PHI,8,4500,0,0.3,0
RB,Reggie Bush,13,BUF,OAK,25,4500,3000,0.3,0
RB,Fozzy Whittaker,13,CAR,SEA,9,4500,3000,0.3,0
RB,Jordan Todman,13,IND,NYJ,15,4500,3000,0.3,0
RB,Bilal Powell,13,NYJ,IND,24,5400,4600,0.3,0
WR,Maurice Harris,13,WAS,ARI,8,0,3000,0.3,1
RB,Joique Bell,14,DET,CHI,5,4600,0,0.3,1
RB,James Starks,14,GB,SEA,4,5700,3800,0.3,0
RB,Wendell Smallwood,14,PHI,WAS,29,5400,3800,0.3,0
RB,Jalston Fowler,15,TEN,KC,16,4500,3000,0.3,0
FB,Mike Tolbert,16,CAR,ATL,27,4500,3000,0.3,0
FB,Keith Smith,1,DAL,NYG,25,0,0,0.3,0
WR,Lucky Whitehead,3,DAL,CHI,22,4500,3000,0.3,0
RB,Jalen Richard,17,OAK,DEN,21,5400,3900,0.3,1
RB,Reggie Bush,5,BUF,LA,18,4900,3000,0.3,0
FB,John Kuhn,7,NO,KC,18,4500,3000,0.3,0
RB,Derrick Henry,7,TEN,IND,31,5200,3100,0.3,0
RB,Ka'Deem Carey,8,CHI,MIN,8,4500,3200,0.3,0
RB,Javorius Allen,10,BAL,CLE,31,4600,3000,0.3,0
RB,Alfred Morris,11,DAL,BAL,1,4600,4700,0.3,0
FB,Mike Tolbert,5,CAR,TB,23,4800,3000,0.2,0
FB,Andy Janovich,5,DEN,ATL,27,4500,3000,0.2,0
WR,Bradley Marquez,5,LAR,BUF,15,4500,3000,0.2,0
FB,Derek Watt,5,SD,OAK,28,4500,3000,0.2,0
FB,Zach Line,7,MIN,PHI,17,4500,3000,0.2,0
RB,Alex Collins,7,SEA,ARI,3,4500,3000,0.2,0
FB,Kyle Juszczyk,9,BAL,PIT,29,4500,3000,0.2,0
WR,Chris Moore,9,BAL,PIT,4,4500,3000,0.2,0
FB,Jerome Felton,9,BUF,SEA,5,4500,3000,0.2,0
WR,Lucky Whitehead,9,DAL,CLE,27,4500,3000,0.2,0
FB,Mike Tolbert,8,CAR,ARI,2,4500,3000,0.2,0
WR,De'Anthony Thomas,8,KC,IND,5,4500,3000,0.2,0
WR,Johnny Holton,8,OAK,TB,16,0,3000,0.2,0
TE,Randall Telfer,10,CLE,BAL,2,4500,2500,0.2,1
RB,Ronnie Hillman,10,MIN,WAS,25,4500,3500,0.2,0
RB,Alex Collins,10,SEA,NE,14,4500,3000,0.2,0
FB,Jerome Felton,11,BUF,CIN,21,4500,3000,0.2,0
FB,Jay Prosch,11,HOU,OAK,25,4500,3000,0.2,0
RB,Chris Johnson,1,ARI,NE,5,6000,3700,0.2,0
FB,Jay Prosch,1,HOU,CHI,23,4500,3000,0.2,0
RB,Paul Lasike,2,CHI,PHI,21,4500,3000,0.2,0
RB,Kenjon Barner,2,PHI,CHI,7,4800,3000,0.2,0
RB,Jonathan Williams,3,BUF,ARI,5,4500,3000,0.2,0
WR,Johnny Holton,3,OAK,TEN,13,0,3000,0.2,0
RB,Alfred Morris,6,DAL,GB,1,5000,3300,0.2,0
RB,Shaun Draughn,6,SF,BUF,19,4600,3000,0.2,0
RB,Kenyan Drake,11,MIA,LA,12,4500,3000,0.2,0
FB,Will Tukuafu,11,SEA,PHI,8,4500,3000,0.2,0
FB,Zach Line,12,MIN,DET,5,4500,3000,0.2,0
RB,Jeremy Langford,13,CHI,SF,32,4700,4100,0.2,0
RB,Corey Grant,13,JAX,DEN,23,4500,3000,0.2,0
FB,Derek Watt,13,SD,TB,20,4500,3000,0.2,0
RB,Ka'Deem Carey,14,CHI,DET,8,4500,3000,0.2,0
FB,Aaron Ripkowski,14,GB,SEA,4,4600,3000,0.2,0
RB,Malcolm Brown,16,LAR,SF,32,4500,3000,0.2,0
RB,Khiry Robinson,16,NYJ,NE,7,0,3000,0.2,1
RB,Juwan Thompson,17,DEN,OAK,23,4500,3000,0.1,0
WR,Jakeem Grant,17,MIA,NE,7,4500,3000,0.1,0
RB,Mike Gillislee,1,BUF,BAL,6,4900,3800,0.1,1
RB,Wendell Smallwood,1,PHI,CLE,19,4500,3000,0.1,0
RB,Mike Davis,1,SF,LA,20,4500,3000,0.1,0
RB,Daryl Richardson,3,PIT,PHI,10,4500,3000,0.1,0
RB,Alex Collins,4,SEA,NYJ,4,4500,3000,0.1,0
RB,Jonathan Williams,6,BUF,SF,28,4500,3000,0.1,1
RB,Paul Lasike,6,CHI,JAX,8,4500,3000,0.1,0
WR,Tajae Sharpe,6,TEN,CLE,19,5100,4100,0.1,0
WR,Ty Montgomery,5,GB,NYG,15,4500,3000,0.1,0
RB,Dexter McCluster,5,SD,OAK,28,4500,3400,0.1,0
RB,Knile Davis,7,GB,CHI,13,4500,3000,0.1,0
RB,Ronnie Hillman,7,MIN,PHI,17,4500,3000,0.1,1
RB,Troymaine Pope,7,NYJ,BAL,2,4500,3000,0.1,0
FB,Mike Tolbert,9,CAR,LA,14,4500,3000,0.1,0
RB,DeAngelo Williams,9,PIT,BAL,6,4900,4500,0.1,0
RB,Peyton Barber,8,TB,OAK,24,4500,3000,0.1,0
FB,Dan Vitale,12,CLE,NYG,17,4500,2500,0.1,1
RB,James Starks,13,GB,HOU,22,5800,4400,0.1,0
WR,George Farmer,13,SEA,CAR,26,0,3000,0.1,0
WR,Mike Thomas,14,LAR,ATL,25,4500,3000,0.1,2
RB,Ka'Deem Carey,15,CHI,GB,9,4500,3000,0.1,0
RB,Josh Ferguson,15,IND,MIN,10,4500,3000,0.1,0
WR,Tony Lippett,11,MIA,LA,8,0,0,0,0
WR,Leonte Carroo,11,MIA,LA,8,4500,3000,0,0
WR,Jakeem Grant,11,MIA,LA,8,4500,3000,0,0
TE,Thomas Duarte,11,MIA,LA,8,4500,2500,0,0
RB,Adrian Peterson,11,MIN,ARI,2,0,0,0,0
WR,Jarius Wright,11,MIN,ARI,5,4500,3000,0,0
WR,Charles Johnson,11,MIN,ARI,5,4600,3000,0,0
FB,Zach Line,11,MIN,ARI,2,4500,3000,0,0
WR,Laquon Treadwell,11,MIN,ARI,5,4500,3000,0,0
TE,David Morgan,11,MIN,ARI,1,4500,2500,0,0
WR,Matthew Slater,11,NE,SF,29,4500,3000,0,0
TE,Rob Gronkowski,11,NE,SF,14,8400,7100,0,0
RB,Brandon Bolden,11,NE,SF,32,4500,3000,0,0
TE,Greg Scruggs,11,NE,SF,14,0,0,0,0
RB,James Develin,11,NE,SF,32,4500,3000,0,0
WR,Chris Hogan,11,NE,SF,29,6000,4700,0,0
TE,Matt Lengel,11,NE,SF,14,4500,2500,0,0
WR,DJ Foster,11,NE,SF,29,4500,3000,0,0
TE,Michael Hoomanawanui,11,NO,CAR,29,4500,0,0,0
RB,Travaris Cadet,11,NO,CAR,3,4600,3000,0,0
TE,Josh Hill,11,NO,CAR,29,4500,2700,0,0
RB,Daniel Lasco,11,NO,CAR,3,4500,3000,0,0
WR,Tommylee Lewis,11,NO,CAR,22,4500,3000,0,0
WR,Jake Lampman,11,NO,CAR,22,4500,3000,0,0
RB,Shane Vereen,11,NYG,CHI,3,4600,0,0,0
WR,Dwayne Harris,11,NYG,CHI,32,4500,3000,0,0
RB,Bobby Rainey,11,NYG,CHI,3,4500,3000,0,0
FB,Will Johnson,11,NYG,CHI,3,4500,0,0,0
WR,Tavarres King,11,NYG,CHI,32,4500,3000,0,0
TE,Larry Donnell,11,NYG,CHI,5,4500,2500,0,0
RB,Orleans Darkwa,11,NYG,CHI,3,4500,3000,0,0
RB,Nikita Whitlock,11,NYG,CHI,3,4500,0,0,0
WR,Ben Edwards,11,NYG,CHI,32,0,0,0,0
TE,Matt Lacosse,11,NYG,CHI,5,4500,0,0,0
TE,Jerell Adams,11,NYG,CHI,5,4500,2500,0,0
TE,Lee Smith,11,OAK,HOU,5,4500,0,0,0
RB,Taiwan Jones,11,OAK,HOU,20,4500,3000,0,0
WR,Andre Holmes,11,OAK,HOU,3,4500,3000,0,0
TE,Mychal Rivera,11,OAK,HOU,5,4500,2500,0,0
TE,Gabe Holmes,11,OAK,HOU,5,4500,0,0,0
RB,Deandre Washington,11,OAK,HOU,20,4800,3900,0,0
WR,Johnny Holton,11,OAK,HOU,3,4500,3000,0,0
TE,Ryan O'malley,11,OAK,HOU,5,4500,2500,0,0
TE,Dillon Gordon,11,PHI,SEA,6,0,0,0,0
WR,Bryce Treggs,11,PHI,SEA,6,4500,3000,0,0
RB,DeAngelo Williams,11,PIT,CLE,31,4500,5900,0,0
WR,Darrius Heyward-Bey,11,PIT,CLE,31,4800,3000,0,0
TE,Ladarius Green,11,PIT,CLE,31,4500,2500,0,0
RB,Daryl Richardson,11,PIT,CLE,31,4500,0,0,0
WR,Markus Wheaton,11,PIT,CLE,31,4800,3000,0,0
WR,Martavis Bryant,11,PIT,CLE,31,0,0,0,0
TE,Xavier Grimble,11,PIT,CLE,31,4500,2500,0,0
RB,Roosevelt Nix,11,PIT,CLE,31,4500,3000,0,0
RB,Fitzgerald Toussaint,11,PIT,CLE,31,4500,3000,0,0
WR,Sammie Coates,11,PIT,CLE,31,5000,3900,0,0
RB,Karlos Williams,11,PIT,CLE,31,0,0,0,0
WR,Canaan Severin,11,PIT,CLE,31,4500,0,0,0
TE,Brandon Williams,11,SEA,PHI,3,4500,2500,0,0
WR,Tyler Slavin,11,SEA,PHI,19,0,0,0,0
RB,Brandon Cottom,11,SEA,PHI,8,4500,0,0,0
TE,Ronnie Shields,11,SEA,PHI,3,0,0,0,0
TE,Nick Vannett,11,SEA,PHI,3,4500,2500,0,0
RB,Alex Collins,11,SEA,PHI,8,4500,3000,0,0
RB,Tre Madden,11,SEA,PHI,8,4500,0,0,0
TE,Joe Sommers,11,SEA,PHI,3,0,0,0,0
WR,Tanner Mcevoy,11,SEA,PHI,19,5000,3000,0,0
WR,Jeremy Kerley,11,SF,NE,10,5300,3500,0,0
WR,Torrey Smith,11,SF,NE,10,4900,3400,0,0
WR,Rod Streater,11,SF,NE,10,4500,3000,0,0
WR,Eric Rogers,11,SF,NE,10,0,0,0,0
WR,Je'Ron Hamm,11,SF,NE,10,4500,2500,0,0
WR,Bruce Ellington,11,SF,NE,10,0,0,0,0
TE,Blake Bell,11,SF,NE,12,4500,2500,0,0
RB,Mike Davis,11,SF,NE,13,4700,3100,0,0
WR,Aaron Burbridge,11,SF,NE,10,4500,3000,0,0
WR,Vincent Jackson,11,TB,KC,23,4500,0,0,0
WR,Louis Murphy,11,TB,KC,23,0,0,0,0
TE,Brandon Myers,11,TB,KC,4,4500,2500,0,0
RB,Antone Smith,11,TB,KC,14,0,0,0,0
RB,Jacquizz Rodgers,11,TB,KC,14,6400,5200,0,0
TE,Luke Stocker,11,TB,KC,4,4500,2500,0,0
WR,Freddie Martino,11,TB,KC,23,4500,3000,0,0
RB,Charles Sims,11,TB,KC,14,0,0,0,0
TE,Anthony Fasano,11,TEN,IND,27,4500,2500,0,0
WR,Andre Johnson,11,TEN,IND,16,0,0,0,0
WR,Marc Mariani,11,TEN,IND,16,4500,3000,0,0
TE,Phillip Supernaw,11,TEN,IND,27,4500,2500,0,0
RB,David Fluellen,11,TEN,IND,25,0,3000,0,0
TE,Jace Amaro,11,TEN,IND,27,4500,2500,0,0
RB,Antonio Andrews,11,TEN,IND,25,4500,3000,0,0
RB,Jalston Fowler,11,TEN,IND,25,4500,3000,0,0
WR,Tre McBride,11,TEN,IND,16,0,3000,0,0
RB,Derrick Henry,11,TEN,IND,25,4900,5300,0,0
TE,Vernon Davis,11,WAS,GB,27,4500,2800,0,0
TE,Niles Paul,11,WAS,GB,27,4500,0,0,0
TE,Derek Carrier,11,WAS,GB,27,4500,2500,0,0
WR,Rashad Ross,11,WAS,GB,29,4500,3000,0,0
RB,Silas Redd,11,WAS,GB,7,4500,0,0,0
RB,Matt Jones,11,WAS,GB,7,5300,3500,0,0
RB,Mack Brown,11,WAS,GB,7,4500,3000,0,0
WR,Quinton Dunbar,11,WAS,GB,29,0,0,0,0
WR,Josh Doctson,11,WAS,GB,29,4500,0,0,0
RB,Keith Marshall,11,WAS,GB,7,4500,0,0,0
WR,Reginald Diggs,11,WAS,GB,29,0,0,0,0
RB,Chris Johnson,12,ARI,ATL,29,4500,0,0,0
WR,Ifeanyi Momah,12,ARI,ATL,28,4500,0,0,0
RB,Kerwynn Williams,12,ARI,ATL,29,4500,3000,0,0
RB,Stepfan Taylor,12,ARI,ATL,29,4500,3000,0,0
TE,Darren Fells,12,ARI,ATL,28,4500,2500,0,0
WR,Jaron Brown,12,ARI,ATL,28,4500,0,0,0
TE,Troy Niklas,12,ARI,ATL,28,4500,0,0,0
TE,Hakeem Valles,12,ARI,ATL,28,0,2500,0,0
WR,Marquis Bundy,12,ARI,ATL,28,0,0,0,0
TE,Jacob Tamme,12,ATL,ARI,1,4800,2800,0,0
WR,Eric Weems,12,ATL,ARI,5,4500,3000,0,0
WR,Aldrick Robinson,12,ATL,ARI,5,4500,3000,0,0
FB,Patrick DiMarco,12,ATL,ARI,1,4500,3000,0,0
RB,Terron Ward,12,ATL,ARI,1,4700,3500,0,0
WR,CJ Goodwin,12,ATL,ARI,5,0,0,0,0
WR,Devin Fuller,12,ATL,ARI,5,0,0,0,0
TE,Joshua Perkins,12,ATL,ARI,1,0,2500,0,0
WR,Devin Hester,12,BAL,CIN,6,4500,3000,0,0
TE,Benjamin Watson,12,BAL,CIN,29,0,0,0,0
TE,Crockett Gillmore,12,BAL,CIN,29,4500,2500,0,0
RB,Lorenzo Taliaferro,12,BAL,CIN,20,4500,3000,0,0
WR,Chris Matthews,12,BAL,CIN,6,0,0,0,0
TE,Maxx Williams,12,BAL,CIN,29,4500,0,0,0
RB,Javorius Allen,12,BAL,CIN,20,4500,3000,0,0
TE,Nick Boyle,12,BAL,CIN,29,0,2500,0,0
WR,Chris Moore,12,BAL,CIN,6,4500,3000,0,0
FB,Jerome Felton,12,BUF,JAX,13,4500,3000,0,0
RB,Reggie Bush,12,BUF,JAX,13,4700,3400,0,0
WR,Percy Harvin,12,BUF,JAX,9,4900,3600,0,0
WR,Marcus Easley,12,BUF,JAX,9,4500,0,0,0
TE,Chris Gragg,12,BUF,JAX,13,0,0,0,0
WR,Robert Woods,12,BUF,JAX,9,5000,4400,0,0
RB,Mike Gillislee,12,BUF,JAX,13,6400,4600,0,0
TE,Blake Annen,12,BUF,JAX,13,0,0,0,0
TE,Nick O'Leary,12,BUF,JAX,13,4500,2500,0,0
WR,Kolby Listenbee,12,BUF,JAX,9,4500,0,0,0
TE,Ed Dickson,12,CAR,OAK,25,4500,2500,0,0
WR,LaRon Byrd,12,CAR,OAK,22,0,0,0,0
WR,Brenton Bersin,12,CAR,OAK,22,4500,3000,0,0
WR,Corey Brown,12,CAR,OAK,22,4700,3000,0,0
RB,Cameron Artis-Payne,12,CAR,OAK,21,4700,3800,0,0
TE,Chris Manhertz,12,CAR,OAK,25,4500,2500,0,0
RB,Devon Johnson,12,CAR,OAK,21,4500,0,0,0
TE,Logan Paulsen,12,CHI,TEN,22,4900,2500,0,0
TE,Zach Miller,12,CHI,TEN,22,0,3000,0,0
WR,Alshon Jeffery,12,CHI,TEN,21,0,0,0,0
WR,Kevin White,12,CHI,TEN,21,4500,0,0,0
TE,Rory Anderson,12,CHI,TEN,22,4500,0,0,0
RB,Paul Lasike,12,CHI,TEN,10,4500,3000,0,0
RB,Cedric Peerman,12,CIN,BAL,1,4500,0,0,0
WR,AJ Green,12,CIN,BAL,29,8000,7800,0,0
RB,Giovani Bernard,12,CIN,BAL,1,5700,4100,0,0
TE,Tyler Kroft,12,CIN,BAL,2,4500,2500,0,0
TE,CJ Uzomah,12,CIN,BAL,2,4500,2500,0,0
WR,Cody Core,12,CIN,BAL,29,4500,3000,0,0
WR,Andrew Hawkins,12,CLE,NYG,11,4500,3000,0,0
